Beetle,Normal,Elevated,,
1,310,110,,
2,240,120,,
3,260,160,,
4,220,80,,
5,160,150,,
6,170,110,,
7,300,260,,
8,180,240,,
9,210,190,,
10,80,130,,
11,190,150,,
12,270,300,,
13,130,160,,
14,190,300,,
15,190,280,,
16,120,190,,
17,180,100,,
18,315,60,,
19,260,140,,
20,285,160,,
21,250,120,,
22,150,170,,
23,150,90,,
24,290,120,,
25,120,220,,
26,210,210,,
27,120,150,,
28,240,160,,
29,275,330,,
30,160,100,,
31,210,235,,
32,200,190,,
33,160,170,,
34,160,95,,
,204.558823529412,169.117647058824,,
